0,5.837E-02
1,6.016E-02
2,5.965E-02
3,5.769E-02
4,4.828E-02
5,5.565E-02
6,5.985E-02
7,6.062E-02
8,5.983E-02
9,2.890E-02
10,5.972E-02
11,5.479E-02
12,5.836E-02
13,6.029E-02
14,6.020E-02
15,6.380E-02
16,5.410E-02
17,6.364E-02
18,6.469E-02
19,5.781E-02
20,5.966E-02
21,5.921E-02
22,5.564E-02
23,5.931E-02
24,6.144E-02
25,5.686E-02
26,5.784E-02
27,5.902E-02
28,5.924E-02
29,4.763E-02
30,4.695E-02
31,5.226E-02
32,5.985E-02
33,5.274E-02
34,5.753E-02
35,5.673E-02
36,5.843E-02
37,5.471E-02
38,5.790E-02
39,5.912E-02
40,5.324E-02
41,5.842E-02
42,6.282E-02
43,4.750E-02
44,5.869E-02
45,5.663E-02
46,5.541E-02
47,6.029E-02
48,5.144E-02
49,5.040E-02
50,5.181E-02
51,5.913E-02
52,5.960E-02
53,5.851E-02
54,5.812E-02
55,6.163E-02
56,5.640E-02
57,5.722E-02
58,5.524E-02
59,5.921E-02
60,5.779E-02
61,5.498E-02
62,5.925E-02
63,5.790E-02
64,5.707E-02
65,5.978E-02
66,5.954E-02
67,5.869E-02
68,3.019E-02
69,6.090E-02
70,5.131E-02
71,6.293E-02
72,5.872E-02
73,5.993E-02
74,5.311E-02
75,5.979E-02
76,5.705E-02
77,5.971E-02
78,6.041E-02
79,6.305E-02
80,5.414E-02
81,5.583E-02
82,5.689E-02
83,6.585E-02
84,6.164E-02
85,6.051E-02
86,6.162E-02
87,6.000E-02
88,6.047E-02
89,5.858E-02
90,5.892E-02
91,5.962E-02
92,5.903E-02
93,6.370E-02
94,6.112E-02
95,6.505E-02
96,6.507E-02
97,5.717E-02
98,6.227E-02
99,6.239E-02
100,6.340E-02
101,6.202E-02
102,5.672E-02
103,7.150E-02
104,6.991E-02
105,7.555E-02
106,7.494E-02
107,7.540E-02
108,7.737E-02
109,7.750E-02
110,7.835E-02
111,8.531E-02
112,8.266E-02
113,8.523E-02
114,8.875E-02
115,9.031E-02
116,9.637E-02
117,9.547E-02
118,9.676E-02
119,1.0197E-01
120,1.0379E-01
121,1.0603E-01
122,1.0933E-01
123,1.1308E-01
124,1.1706E-01
125,1.1994E-01
126,1.2042E-01
127,1.2748E-01
128,1.2687E-01
129,1.3430E-01
130,1.3359E-01
131,1.3784E-01
132,1.4384E-01
133,1.4607E-01
134,1.5028E-01
135,1.5279E-01
136,1.5844E-01
137,1.6369E-01
138,1.6567E-01
139,1.6847E-01
140,1.7308E-01
141,1.7603E-01
142,1.8295E-01
143,1.8606E-01
144,1.9060E-01
145,1.9352E-01
146,1.9935E-01
147,2.0157E-01
148,2.0468E-01
149,2.1057E-01
150,2.1254E-01
151,2.1904E-01
152,2.2629E-01
153,2.2812E-01
154,2.3486E-01
155,2.3790E-01
156,2.3794E-01
157,2.4431E-01
158,2.4779E-01
159,2.5594E-01
160,2.5792E-01
161,2.6265E-01
162,2.6614E-01
163,2.6784E-01
164,2.7638E-01
165,2.7930E-01
166,2.8536E-01
167,2.8310E-01
168,2.8678E-01
169,2.9163E-01
170,2.9634E-01
171,2.9986E-01
172,3.0782E-01
173,3.1045E-01
174,3.1352E-01
175,3.1488E-01
176,3.2013E-01
177,3.2164E-01
178,3.2362E-01
179,3.3068E-01
180,3.3085E-01
181,3.3218E-01
182,3.3830E-01
183,3.4462E-01
184,3.4462E-01
185,3.4853E-01
186,3.5124E-01
187,3.5633E-01
188,3.5619E-01
189,3.6015E-01
190,3.6520E-01
191,3.6467E-01
192,3.7061E-01
193,3.6794E-01
194,3.7300E-01
195,3.7570E-01
196,3.7710E-01
197,3.8301E-01
198,3.8018E-01
199,3.8177E-01
200,3.8512E-01
201,3.9188E-01
202,3.9086E-01
203,3.8978E-01
204,3.9530E-01
205,3.9769E-01
206,3.9736E-01
207,4.0012E-01
208,3.9895E-01
209,4.0443E-01
210,4.0664E-01
211,4.0952E-01
212,4.0769E-01
213,4.1247E-01
214,4.1438E-01
215,4.1166E-01
216,4.1668E-01
217,4.1600E-01
218,4.1481E-01
219,4.1882E-01
220,4.2087E-01
221,4.2450E-01
222,4.2104E-01
223,4.2621E-01
224,4.2646E-01
225,4.2911E-01
226,4.2838E-01
227,4.2935E-01
228,4.2897E-01
229,4.3205E-01
230,4.3481E-01
231,4.3748E-01
232,4.3644E-01
233,4.3549E-01
234,4.3759E-01
235,4.3515E-01
236,4.3593E-01
237,4.3706E-01
238,4.3759E-01
239,4.3879E-01
240,4.4445E-01
241,4.4648E-01
242,4.4516E-01
243,4.4202E-01
244,4.4520E-01
245,4.4233E-01
246,4.4518E-01
247,4.4578E-01
248,4.4745E-01
249,4.4505E-01
250,4.4898E-01
251,4.5048E-01
252,4.4854E-01
253,4.4999E-01
254,4.4793E-01
255,4.5161E-01
