0,0.69614
1,0.64538
2,0.60197
3,0.56402
4,0.52944
5,0.49828
6,0.46976
7,0.44338
8,0.41894
9,0.39642
10,0.37527
11,0.35541
12,0.33677
13,0.31906999999999996
14,0.30241
15,0.28659
16,0.26966999999999997
17,0.25259
18,0.23699
19,0.22276
20,0.20977
21,0.19768
22,0.18676
23,0.17639
24,0.16682
25,0.15803
26,0.14961
27,0.14185
28,0.13465
29,0.1277
30,0.12106
31,0.11510999999999999
32,0.10795
33,0.10204
34,0.09623
35,0.09138
36,0.08676
37,0.08251
38,0.07849
39,0.07468
40,0.07139
41,0.0681
42,0.06519
43,0.06253
44,0.05987
45,0.0576
46,0.05519
47,0.05316
48,0.05142
49,0.04966
50,0.04766
51,0.04622
52,0.0446
53,0.04337
54,0.042230000000000004
55,0.041
56,0.03988
57,0.03912
58,0.03805
59,0.03744
60,0.037040000000000003
61,0.03603
62,0.03551
63,0.03437
64,0.03385
65,0.03397
66,0.03333
67,0.03295
68,0.03247
69,0.03242
70,0.03228
71,0.03227
72,0.03174
73,0.03171
74,0.03146
75,0.03124
76,0.03115
77,0.03137
78,0.0309
79,0.03089
80,0.03064
81,0.03073
82,0.03062
83,0.03037
84,0.030449999999999998
85,0.03046
86,0.03025
87,0.02998
88,0.02996
89,0.02957
90,0.02895
91,0.02932
92,0.02897
93,0.02886
94,0.0286
95,0.02871
96,0.02892
97,0.02917
98,0.02886
99,0.02866
100,0.02903
101,0.0288
102,0.02884
103,0.02877
104,0.02882
105,0.0286
106,0.02853
107,0.02869
108,0.02868
109,0.02872
110,0.028399999999999998
111,0.02887
112,0.02827
113,0.02899
114,0.02841
115,0.02877
116,0.02882
117,0.028319999999999998
118,0.02845
119,0.02827
120,0.02856
121,0.02873
122,0.0285
123,0.02892
124,0.02869
125,0.02857
126,0.02875
127,0.02819
128,0.02862
